val_acc,val_loss,num_params,wall_time_s,trial_id,config/epochs,config/batch_size,config/lr,config/weight_decay,config/n_conv,config/base_channels,config/fc_units,config/batchnorm_on,config/dropout_on,config/dropout_p,config/skip_on
0.6125,0.8310917099316915,8465283,66.96795916557312,c12b3_00000,5,128,0.00024316285660246355,1.8966244453017386e-05,2,64,256,False,True,0.4,False
0.6666666666666666,0.7574003040790558,1068451,29.245187759399414,c12b3_00001,5,64,0.00010626961227233268,0.00034741003986000975,2,32,64,True,False,0.4,False
0.6583333333333333,0.7892963091532389,2448051,80.9049506187439,c12b3_00002,5,128,0.00013412773040723234,0.0006340506092421362,4,48,256,True,True,0.2,False
0.6270833333333333,0.7796795666217804,1142339,28.82163166999817,c12b3_00003,5,128,0.0007851010283086554,0.00012469127348670707,3,32,128,False,False,0.2,True
0.5541666666666667,0.8990460077921549,3189155,35.01873517036438,c12b3_00004,5,128,0.00365263694082146,0.00016725605677250994,2,48,128,False,False,0.4,False
0.6020833333333333,0.8358135024706522,2076611,131.23505997657776,c12b3_00005,5,64,0.006315064448844655,0.00016695955644484406,4,64,64,True,False,0.2,False
0.6979166666666666,0.6835822860399882,996147,63.92366003990173,c12b3_00006,5,64,0.00031501228970840867,8.124939341633893e-06,3,48,64,True,False,0.4,True
0.6645833333333333,0.7219573597113291,4567107,109.25383234024048,c12b3_00007,5,128,0.005044153348193287,0.0006311966644792922,3,64,256,True,False,0.4,False
0.6354166666666666,0.7843695839246114,2117059,23.105819940567017,c12b3_00008,5,128,0.0008352345665777219,3.388878030032247e-06,2,32,128,False,False,0.4,True
0.64375,0.808342178662618,2076611,119.5270185470581,c12b3_00009,5,64,0.0048429424655731575,2.6462099155338627e-06,4,64,64,True,False,0.2,True
