val_acc,val_loss,num_params,wall_time_s,trial_id,config/epochs,config/batch_size,config/lr,config/weight_decay,config/n_conv,config/base_channels,config/fc_units,config/batchnorm_on,config/dropout_on,config/dropout_p,config/skip_on
0.6520833333333333,0.7563116947809855,2469187,238.23026871681213,a1cb7_00000,12,128,0.00021640941799590146,9.768722710296195e-06,3,64,128,True,True,0.4,True
0.6479166666666667,0.764325366417567,2469187,218.2377049922943,a1cb7_00001,12,64,0.00011699679487675196,2.00319651087969e-06,3,64,128,True,True,0.4,False
0.7,0.6954293648401896,996147,128.30925703048706,a1cb7_00002,12,128,0.00022342164653804753,4.311101084415572e-05,3,48,64,True,False,0.2,False
0.7270833333333333,0.7086180826028188,1782963,148.01221013069153,a1cb7_00003,12,64,0.0004827458338011291,6.688775835523658e-06,3,48,128,True,False,0.4,False
0.66875,0.7299802501996359,2468483,198.50128531455994,a1cb7_00004,12,128,0.000130847985045164,5.573049012930549e-06,3,64,128,False,False,0.2,False
0.7041666666666667,0.6737893720467886,996147,138.85107135772705,a1cb7_00005,12,64,0.0002935467264972552,1.5031818560186325e-05,3,48,64,True,True,0.2,True
0.7208333333333333,0.7056544144948323,2469187,223.23872566223145,a1cb7_00006,12,128,0.0004881113938322345,1.150691714479706e-06,3,64,128,True,False,0.4,False
0.6729166666666667,0.7323434869448344,2468483,195.33832168579102,a1cb7_00007,12,128,0.00013884076211307194,1.9085676911266637e-06,3,64,128,False,False,0.4,False
0.63125,0.781015678246816,1782371,124.18148875236511,a1cb7_00008,12,64,0.0003272166523751193,6.900229176089063e-06,3,48,128,False,True,0.4,True
0.6479166666666667,0.7946396509806315,1419651,166.850035905838,a1cb7_00009,12,64,0.00020047863918609948,1.8596777417114806e-06,3,64,64,False,True,0.4,False
